13522864,1.0,1.0,1.0,6.0,7.0,6.0,1.0,1.0,1.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,2.0,2.0,6.0,2.0,2.0,6.0,6.0,7.0
13522864,1.0,1.0,2.0,6.0,6.0,6.0,2.0,1.0,1.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,1.0,1.0,2.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0
13522864,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
13522864,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
13522864,2.0,2.0,2.0,6.0,7.0,6.0,2.0,1.0,1.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,2.0,6.0,6.0,6.0,6.0,2.0,6.0,2.0,2.0,1.0,6.0,6.0,6.0
13522864,2.0,1.0,2.0,7.0,7.0,7.0,2.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,7.0
13522864,1.0,1.0,1.0,6.0,6.0,7.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,7.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,2.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,7.0,6.0,7.0
13522864,2.0,2.0,3.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,2.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0
13522864,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
13522864,1.0,2.0,1.0,5.0,6.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0
13522864,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
13522864,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
13522864,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
13522864,2.0,2.0,2.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,1.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0
13522864,2.0,6.0,1.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,1.0,1.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,6.0,7.0,6.0,6.0
13522864,2.0,2.0,2.0,6.0,6.0,6.0,1.0,2.0,2.0,1.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,2.0,2.0,2.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0
13522864,2.0,2.0,2.0,6.0,6.0,6.0,2.0,2.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,6.0
13522864,2.0,2.0,2.0,6.0,6.0,6.0,2.0,6.0,1.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,6.0,6.0,6.0,7.0,6.0,2.0,5.0,6.0,6.0,2.0,2.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,2.0,7.0,6.0,6.0
13522864,1.0,2.0,1.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,1.0,6.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0
